"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"137380","SN 2023twg","08:45:54.530","+12:47:12.19","SN II","0.03","","","GOTO, ATLAS, ZTF, GaiaAlerts, Pan-STARRS","GOTO, ATLAS, ZTF, GaiaAlerts, Pan-STARRS","SCAT","ATLAS, GaiaAlerts, GOTO, Pan-STARRS, ZTF","GOTO23aon","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","UH88 - SNIFS","1","1","","18.22","L-GOTO","2023-10-02 05:41:45.312","GOTO_bot","","","2023TNSTR2458....1O","2023TNSCR2497....1T","",""
"137378","SN 2023twe","03:55:21.567","-33:53:51.12","SN Ia","0.06","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS23tkc","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","UH88 - SNIFS","1","1","","18.572","orange-ATLAS","2023-10-02 00:15:04.608","ATLAS_Bot1","","","2023TNSTR2456....1T","2023TNSCR2508....1T","",""
"137375","SN 2023twb","03:43:20.292","-17:42:09.42","SN Ia","0.039","","","ZTF, YSE, ATLAS","ZTF, Pan-STARRS, ATLAS","SCAT","ATLAS, Pan-STARRS, YSE, ZTF","ZTF23abgltid","ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","19.3952","r-ZTF","2023-09-24 10:33:00.576","ZTF_CLU_PUBLIC","","","2023TNSTR2465....1D","2023TNSCR2521....1T","",""
"137372","SN 2023tvy","07:52:01.800","+63:25:25.90","SN Ia","0.08","WISEA J075202.19+632531.6","","XOSS, ATLAS, GaiaAlerts, Fink","XOSS, ATLAS, GaiaAlerts, ZTF","ZTF","ATLAS, Fink, GaiaAlerts, XOSS","XM114MZ","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.53","Clear-","2023-10-01 22:13:02.208","Mi Zhang","","","2023TNSTR2463....1Z","2023TNSCR3009....1J","",""
"137368","SN 2023tvu","03:04:42.035","-30:31:01.86","SN Ib","0.053","","","Pan-STARRS, ATLAS","Pan-STARRS, ATLAS","ePESSTO+","ATLAS, Pan-STARRS","PS23ivc","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.26","i-P1","2023-10-01 12:33:34.848","PS1_Bot1","","","2023TNSTR2454....1C","2023TNSCR2840....1A","",""
"137366","SN 2023tvs","07:44:30.470","+67:16:27.52","SN II","0.014","","","Pan-STARRS, ATLAS, GaiaAlerts","Pan-STARRS, ATLAS, GaiaAlerts","SCAT","ATLAS, GaiaAlerts, Pan-STARRS","PS23iuv","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, PS1 - GPC1","UH88 - SNIFS","1","1","","17.62","i-P1","2023-10-01 13:49:54.048","PS1_Bot1","","","2023TNSTR2454....1C","2023TNSCR2496....1T","",""
"137363","SN 2023tvp","20:11:25.330","-38:12:00.18","SN IIb","0.019","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS, GaiaAlerts","ATLAS23tjm","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.049","orange-ATLAS","2023-10-01 19:18:22.752","ATLAS_Bot1","","","2023TNSTR2452....1T","2023TNSCR2482....1A","",""
"137357","SN 2023tvj","06:08:57.120","-21:31:20.06","SN II","0.04","","","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ePESSTO+","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ATLAS23tje","ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.484","orange-ATLAS","2023-10-01 08:37:38.208","ATLAS_Bot1","","","2023TNSTR2452....1T","2023TNSCR2482....1A, 2023TNSCR2721....1W","",""
"137342","SN 2023tuu","03:40:21.540","-58:49:08.26","SN Ia","0.05","","","GaiaAlerts","GaiaAlerts","ePESSTO+","GaiaAlerts","Gaia23crg","Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","17.67","G-Gaia","2023-09-28 16:55:12.000","Gaia_Bot1","","","2023TNSTR2449....1H","2023TNSCR2493....1R","",""
"137340","SN 2023tus","06:06:11.180","-31:11:45.89","SN Ic","0.046","","","ATLAS, Pan-STARRS, GaiaAlerts","ATLAS, Pan-STARRS, GaiaAlerts","ePESSTO+","ATLAS, GaiaAlerts, Pan-STARRS","ATLAS23tiv","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.623","orange-ATLAS","2023-09-30 07:42:18.720","ATLAS_Bot1","","","2023TNSTR2447....1T","2023TNSCR2493....1R","",""
"137313","SN 2023tts","08:29:21.932","+11:45:27.96","SN II","0.095","","","ATLAS, GOTO, Pan-STARRS","ATLAS, GOTO, Pan-STARRS","ePESSTO+","ATLAS, GOTO, Pan-STARRS","ATLAS23tho","ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.046","orange-ATLAS","2023-09-28 14:42:21.600","ATLAS_Bot1","","","2023TNSTR2417....1T","2023TNSCR2482....1A","",""
"137306","SN 2023ttq","17:30:50.660","+54:43:35.11","SN Ia","0.11","SDSS J173050.65+544335.4","","ALeRCE","ZTF","ZTF","ALeRCE","ZTF23abgovnz","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.3113","r-ZTF","2023-09-24 03:57:49.003","ALeRCE","","","2023TNSTR2416....1M","2023TNSCR2647....1J","",""
"137297","SN 2023tth","03:50:19.710","+27:17:50.32","SN Ia","0.069","","","Pan-STARRS, Fink, GOTO","Pan-STARRS, ZTF, GOTO","ZTF","Fink, GOTO, Pan-STARRS","PS23itd","GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","19.05","i-P1","2023-09-27 11:22:32.736","PS1_Bot1","","","2023TNSTR2422....1C","2023TNSCR2522....1F","",""
"137287","SN 2023tsz","08:37:29.530","-00:02:35.74","SN Ibn","0.028","","","GOTO, ATLAS, GaiaAlerts, Pan-STARRS","GOTO, ATLAS, GaiaAlerts, Pan-STARRS","GOTO","ATLAS, GaiaAlerts, GOTO, Pan-STARRS","GOTO23anx","ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric, GOTO-N - GOTO-2, PS1 - GPC1","NOT - ALFOSC","1","1","","16.36","L-GOTO","2023-09-28 05:44:00.960","GOTO_bot","","","2023TNSTR2419....1G","2023TNSCR2442....1P","",""
"137286","SN 2023tsy","00:31:52.461","-03:37:41.75","SN Ia","0.059","","","ATLAS, Pan-STARRS, ZTF","ATLAS, Pan-STARRS, ZTF","SCAT","ATLAS, Pan-STARRS, ZTF","ATLAS23tgr","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam, PS2 - GPC2","UH88 - SNIFS","1","1","","18.5","orange-ATLAS","2023-09-26 03:52:57.792","ATLAS_Bot1","","","2023TNSTR2417....1T","2023TNSCR2521....1T","",""
"137284","SN 2023tsw","05:13:15.667","+06:08:35.93","SN Ia","0.05","WISEA J051314.85+060844.1","","XOSS, ATLAS, GOTO, Fink","XOSS, ATLAS, GOTO, ZTF","SCAT","ATLAS, Fink, GOTO, XOSS","KATS23S001","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-2, Other - Other, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.29","Clear-","2023-09-27 22:46:57.792","Mi Zhang","","","2023TNSTR2423....1Z","2023TNSCR2521....1T","",""
"137278","SN 2023tsq","23:12:24.189","+17:42:41.52","SN Ia","0.082","SDSS J231224.20+174241.3","","ALeRCE","ZTF","ePESSTO+","ALeRCE","ZTF23abfubfc","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.8423","r-ZTF","2023-09-22 06:46:15.004","ALeRCE","","","2023TNSTR2409....1M","2023TNSCR2482....1A","",""
"137276","SN 2023tso","00:44:30.977","+02:26:08.50","SN Ia","0.07","SDSS J004431.01+022608.1","","ALeRCE","ZTF","ZTF","ALeRCE","ZTF23abgpokx","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.374","g-ZTF","2023-09-25 10:00:05.999","ALeRCE","","","2023TNSTR2409....1M","2023TNSCR2619....1J","",""
"137273","SN 2023tsl","00:52:00.793","-09:28:54.85","SN Ia","0.077736","SDSS J005200.30-092856.7","0.07773639","ALeRCE, ATLAS, Pan-STARRS, GOTO","ZTF, ATLAS, Pan-STARRS, GOTO","ZTF","ALeRCE, ATLAS, GOTO, Pan-STARRS","ZTF23abhfhze","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.2974","g-ZTF","2023-09-27 08:35:02.999","ALeRCE","","","2023TNSTR2409....1M","2023TNSCR2483....1F","",""
"137250","SN 2023tro","07:42:45.503","+47:24:44.46","SN II","0.03186","SDSS J074246.01+472455.3","","ALeRCE","ZTF","ZTF","ALeRCE","ZTF23abhbzbo","P48 - ZTF-Cam","Keck1 - LRIS","1","1","","20.2002","r-ZTF","2023-09-26 11:47:20.000","ALeRCE","","","2023TNSTR2389....1M","2024TNSCR3554....1R","",""
